uw,ug,gradP
0.1256818181818181,2.629032258064516,75.0
0.1256818181818181,2.5241935483870965,75.0
0.1263636363636363,2.3870967741935485,75.0
0.1265909090909091,2.258064516129032,75.0
0.1268181818181818,2.096774193548387,75.0
0.1272727272727273,1.9435483870967745,75.0
0.1279545454545454,1.8225806451612905,75.0
0.1284090909090909,1.6935483870967742,75.0
0.1284090909090909,1.5564516129032258,75.0
0.1288636363636363,1.435483870967742,75.0
0.1293181818181818,1.2580645161290325,75.0
0.1297727272727273,1.1209677419354838,75.0
0.1302272727272727,1.0241935483870968,75.0
0.1309090909090909,0.9758064516129032,75.0
0.1327272727272727,0.9274193548387096,75.0
0.1359090909090909,0.9193548387096774,75.0
0.1397727272727272,0.9112903225806452,75.0
0.1468181818181818,0.9032258064516128,75.0
0.1506818181818182,0.8951612903225806,75.0
0.1559090909090909,0.8870967741935484,75.0
0.1638636363636363,0.8709677419354839,75.0
0.1697727272727273,0.8709677419354839,75.0
0.1743181818181818,0.8709677419354839,75.0
0.1256818181818181,2.629032258064516,75.0
0.1256818181818181,2.5241935483870965,75.0
0.1263636363636363,2.3870967741935485,75.0
0.1265909090909091,2.258064516129032,75.0
0.1268181818181818,2.096774193548387,75.0
0.1272727272727273,1.9435483870967745,75.0
0.1279545454545454,1.8225806451612905,75.0
0.1284090909090909,1.6935483870967742,75.0
0.1284090909090909,1.5564516129032258,75.0
0.1288636363636363,1.435483870967742,75.0
0.1293181818181818,1.2580645161290325,75.0
0.1297727272727273,1.1209677419354838,75.0
0.1302272727272727,1.0241935483870968,75.0
0.1309090909090909,0.9758064516129032,75.0
0.1327272727272727,0.9274193548387096,75.0
0.1359090909090909,0.9193548387096774,75.0
0.1397727272727272,0.9112903225806452,75.0
0.1468181818181818,0.9032258064516128,75.0
0.1506818181818182,0.8951612903225806,75.0
0.1559090909090909,0.8870967741935484,75.0
0.1638636363636363,0.8709677419354839,75.0
0.1697727272727273,0.8709677419354839,75.0
0.1743181818181818,0.8709677419354839,75.0
0.1384090909090909,4.330645161290322,150.0
0.1393181818181818,4.201612903225806,150.0
0.1368181818181818,4.185483870967742,150.0
0.135,4.169354838709677,150.0
0.1361363636363636,4.0,150.0
0.1372727272727272,3.814516129032258,150.0
0.1377272727272727,3.620967741935484,150.0
0.1386363636363636,3.467741935483871,150.0
0.1388636363636363,3.2419354838709675,150.0
0.1390909090909091,3.07258064516129,150.0
0.1395454545454545,2.8870967741935485,150.0
0.1404545454545454,2.75,150.0
0.1411363636363636,2.6129032258064515,150.0
0.1413636363636363,2.419354838709677,150.0
0.1420454545454545,2.217741935483871,150.0
0.1422727272727272,2.0241935483870965,150.0
0.1427272727272727,1.814516129032258,150.0
0.1434090909090909,1.6209677419354838,150.0
0.1436363636363636,1.4274193548387095,150.0
0.1447727272727272,1.2741935483870968,150.0
0.1488636363636363,1.185483870967742,150.0
0.1525,1.096774193548387,150.0
0.1570454545454545,1.0483870967741935,150.0
0.1595454545454545,0.9919354838709676,150.0
0.1640909090909091,1.0080645161290325,150.0
0.1695454545454545,0.9919354838709676,150.0
0.1754545454545454,0.967741935483871,150.0
0.1797727272727272,0.9596774193548386,150.0
0.1868181818181818,0.9596774193548386,150.0
0.1929545454545454,0.9596774193548386,150.0
0.1984090909090909,0.9596774193548386,150.0
0.2054545454545454,0.9596774193548386,150.0
0.2095454545454545,0.9274193548387096,150.0
0.2138636363636363,0.8709677419354839,150.0
0.2186363636363636,0.8064516129032258,150.0
0.1555386949924127,4.5,225.0
0.1566767830045523,4.435483870967742,225.0
0.1578148710166919,4.354838709677419,225.0
