x, y
0.4306640625, 13.21161825726141
0.4951171875, 13.908713692946058
0.564453125, 14.804979253112034
0.6142578125, 15.601659751037344
0.654296875, 16.431535269709542
0.6943359375, 17.261410788381742
0.7373046875, 18.09128630705394
0.765625, 18.887966804979254
0.783203125, 19.717842323651453
0.810546875, 20.547717842323653
0.923828125, 20.481327800829874
0.9306640625, 18.489626556016596
0.9384765625, 16.398340248962654
0.939453125, 14.340248962655602
0.943359375, 12.348547717842324
0.9482421875, 10.29045643153527
0.951171875, 8.265560165975105
0.9560546875, 6.141078838174274
0.95703125, 4.149377593360996
